wegetacja	data	mies	pora	temp	pH	PEW	"wiek, d"	temp. pow.	"opad, mm/d"	"QSOS1, dm3/d"	C7-C40in	C7-C-20in	C21-C40in	C7-C40	C7-C-20	C21-C40
weg	7/20/2012	lip	lato	18.8	7.8	6.43	366	23	0	20	61.84813163	50.5564636	11.29166803	0.328147479	0.28719735	0.511494502
weg	7/20/2012	lip	lato	18.8	7.92	6.52	366	23	0	20	71.6424206	55.57658677	16.06583383	0.31350825	0.223823516	0.623754918
weg	9/20/2012	wrz	jesieñ	8	7.15	0.228	428	19	0.3	50	220.3802841	103.970205	116.4100791	0.652196713	0.40969635	0.868782878
weg	9/20/2012	wrz	jesieñ	8	7.1	0.24	428	19	0.3	50	250.1773198	209.2408348	40.93648498	0.351871068	0.267842148	0.781372562
weg	9/30/2012	wrz	jesieñ	13.4	6.85	0.258	438	21	0	20	205.450132	134.4370481	71.01308399	0.407354564	0.278103674	0.652043389
weg	9/30/2012	wrz	jesieñ	13.3	6.55	0.255	438	21	0	20	190.9394126	135.0920588	55.84735385	0.556457908	0.50214198	0.687845521
weg	10/18/2012	paŸ	jesieñ	1	7.47	0.116	456	15	0	20	191.8328438	82.81019507	109.0226488	0.367903272	0.237042043	0.46730137
weg	10/18/2012	paŸ	jesieñ	1	7.44	0.118	456	15	0	20	191.9930985	101.7649152	90.22818326	0.515762122	0.519907606	0.51108659
weg	4/11/2013	kwi	wiosna	4	7.57	0.277	631	8.3	0	20	169.0563059	42.73763923	126.3186667	0.738284569	0.424365501	0.844493416
weg	4/11/2013	kwi	wiosna	4	7.59	0.274	631	8.3	0	20	150.8475561	51.51351123	99.3340449	0.568555636	0.397432346	0.657298237
weg	4/18/2013	kwi	wiosna	12.5	7.37	0.492	638	16.9	0	20	45.96496106	30.34138529	15.62357577	0.501380539	0.521169551	0.46294977
weg	4/18/2013	kwi	wiosna	12.5	7.23	0.493	638	16.9	0	20	40.71752866	30.97508637	9.742442284	0.495419365	0.514618492	0.43437773
nie	5/9/2013	maj	wiosna	14	7.22	0.173	659	18.82	0.1	30	27.63157481	13.21967842	14.41189639	0.383360779	0.391759616	0.375656732
nie	5/9/2013	maj	wiosna	14	7.2	0.203	659	18.82	0.1	30	40.83325847	21.41601916	19.41723931	0.529147445	0.544615075	0.512087603
nie	5/23/2013	maj	wiosna	5.5	6.87	0.104	673	8.86	0.7	90	50.69791649	8.319219944	42.37869655	0.795059427	0.555529783	0.842080689
nie	5/23/2013	maj	wiosna	5.5	6.87	0.118	673	8.86	0.7	90	15.87898041	8.374764181	7.504216232	0.43963755	0.421421782	0.459966491
nie	6/6/2013	cze	lato	11.5	7.49	0.123	687	14.2	1.9	210	85.74297761	43.89870286	41.84427475	0.738916836	0.761482825	0.715242925
nie	6/6/2013	cze	lato	11.5	7.49	0.123	687	14.2	1.9	210	121.1378254	39.53819327	81.59963217	0.477475323	0.600301999	0.417961025
nie	6/20/2013	cze	lato	8.5	5.61	1.206	701	29.9	0	20	275.7703855	172.4707769	103.2996086	0.861084167	0.817462925	0.933914932
nie	6/20/2013	cze	lato	8.5	5.61	1.206	701	29.9	0	20	203.3051018	119.847814	83.45728782	0.791758809	0.720859276	0.893573214
nie	9/11/2013	wrz	jesieñ	3	7.17	0.15	784	12.2	10.7	1090	521.6064826	280.5168224	241.0896602	0.641125882	0.48134256	0.827039744
nie	9/11/2013	wrz	jesieñ	3	7.07	0.148	784	12.2	10.7	1090	443.7880302	353.7802418	90.00778835	0.394824484	0.364705402	0.513209087
nie	9/26/2013	wrz	jesieñ	5	6.52	0.0883	799	14	7.2	740	599.034829	488.1493693	110.8854597	0.622543326	0.628101022	0.598076766
nie	9/26/2013	wrz	jesieñ	5	6.52	0.0883	799	14	7.2	740	507.1215876	317.8824312	189.2391564	0.561556743	0.531059858	0.612785166
